docket,name,term,decision_margin,kks_correct,courtcast_correct,mplus_correct
11-262,"VIRGIL D. 'GUS' REICHLE, JR., et al., PETITIONERS v. STEVEN HOWARDS",2011,8.0,1,1,1
134 ORIG,,2007,5.0,1,0,
08-289,"THOMAS C. HORNE, SUPERINTENDENT, ARIZONA PUBLIC INSTRUCTION v. MIRIAM FLORES et al.",2008,5.0,1,0,1
09-834,"KEVIN KASTEN, PETITIONER v. SAINT-GOBAIN PERFORMANCE PLASTICS CORPORATION",2010,6.0,1,1,1
09-837,"MAYO FOUNDATION FOR MEDICAL EDUCATION AND RESEARCH, et al., PETITIONERS v. UNITED STATES",2010,8.0,1,1,0
09-1403,"ERICA P. JOHN FUND, INC., FKA ARCHDIOCESE OF MILWAUKEE SUPPORTING FUND, INC., PETITIONER v. HALLIBURTON CO., et al.",2010,9.0,1,1,1
11-465,"DEBORAH K. JOHNSON, ACTING WARDEN, PETITIONER v. TARA SHENEVA WILLIAMS",2012,9.0,1,1,1
13-132,RILEY v. CALIFORNIA,2013,9.0,1,1,1
04-1084,"ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. O CENTRO ESPIRITA BENEFICENTE UNIAO DO VEGETAL et al.",2005,8.0,0,0,0
10-1018,"STEVE A. FILARSKY, PETITIONER v. NICHOLAS B. DELIA.",2011,9.0,1,1,1
11-10362,"KIM MILLBROOK, PETITIONER v. UNITED STATES",2012,9.0,1,1,1
05-6551,JOHN CUNNINGHAM V.CALIFORNIA,2006,6.0,1,1,1
12-536,MCCUTCHEON v. FEC,2013,5.0,1,1,1
13-1487,HENDERSON v. UNITED STATES,2014,9.0,1,1,1
08-267,UNITED STATES v. JACOB DENEDO,2008,5.0,0,0,0
05-259,BURLINGTON NORTHERN & SANTA FE RAILWAY COMPANY v. SHEILA WHITE,2005,9.0,1,0,0
08-1470,"MARY BERGHUIS, WARDEN v. VAN CHESTER THOMPKINS",2009,5.0,1,1,1
08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",2010,4.0,1,1,0
08-304,"GRAHAM COUNTY SOIL AND WATER CONSERVATION DISTRICT, et al. v. UNITED STATES ex rel. KAREN T. WILSON",2009,7.0,1,1,1
08-305,FOREST GROVE SCHOOL DISTRICT v. T. A.,2008,6.0,0,0,0
08-6261,JOHN ROBERTSON v. UNITED STATES ex rel. WYKENNA WATSON,2009,5.0,0,0,0
13-1314,ARIZONA STATE LEGISLATURE v. ARIZONA INDEPENDENT REDISTRICTING COMMISSION,2014,5.0,0,0,0
06-1646,UNITED STATES v. GINO RODRIQUEZ,2007,6.0,1,1,1
07-499,"DANIEL GIRMAI NEGUSIE v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2008,8.0,1,1,0
06-1498,"WARNER-LAMBERT CO., LLC, et al. v. KIMBERLY KENT et al.",2007,4.0,0,0,0
11-820,"ROSELVA CHAIDEZ, PETITIONER v. UNITED STATES",2012,7.0,0,0,0
13-894,DEP'T OF HOMELAND SEC. v. MACLEAN,2014,7.0,0,1,0
13-895,ALA. LEGISLATIVE BLACK CAUCUS v. ALABAMA,2014,5.0,0,1,1
13-354,BURWELL v. HOBBY LOBBY STORES,2013,5.0,0,0,0
05-1074,"LILLY M. LEDBETTER v. THE GOODYEAR TIRE & RUBBER COMPANY, INC.",2006,5.0,0,1,0
12-43,"PPL CORPORATION AND SUBSIDIARIES, PETITIONERS v. COMMISSIONER OF INTERNAL REVENUE",2012,9.0,1,1,0
13-299,CLARK v. RAMEKER,2013,9.0,0,1,0
11-210,"UNITED STATES, PETITIONER v. XAVIER ALVAREZ",2011,6.0,0,0,0
13-352,"B&B HARDWARE, INC. v. HARGIS INDUS., INC.",2014,7.0,1,1,1
08-604,"UNION PACIFIC RAILROAD COMPANY v. BROTHERHOOD OF LOCOMOTIVE ENGINEERS AND TRAINMEN GENERAL COMMITTEE OF ADJUSTMENT, CENTRAL REGION",2009,9.0,1,0,0
08-769,UNITED STATES v. ROBERT J. STEVENS,2009,8.0,1,0,0
06-1249,WYETH v. DIANA LEVINE,2008,6.0,0,0,0
08-1457,"NEW PROCESS STEEL, L. P. v. NATIONAL LABOR RELATIONS BOARD",2009,5.0,0,1,1
11-597,"ARKANSAS GAME AND FISH COMMISSION, PETITIONER v. UNITED STATES",2012,8.0,1,1,1
11-796,"VERNON HUGH BOWMAN, PETITIONER v. MONSANTO COMPANY et al.",2012,9.0,1,1,0
11-88,"ASID MOHAMAD, INDIVIDUALLY AND FOR THE ESTATE OF AZZAM RAHIM, DECEASED, et al., PETITIONERS v. PALESTINIAN AUTHORITY et al.",2011,9.0,1,1,0
11-798,"AMERICAN TRUCKING ASSOCIATIONS, INC., PETITIONER v. CITY OF LOS ANGELES, CALIFORNIA, et al.",2012,9.0,1,1,1
08-22,"HUGH M. CAPERTON, et al. v. A. T. MASSEY COAL COMPANY, INC., et al.",2008,5.0,1,1,1
13-684,"JESINOSKI v. COUNTRYWIDE HOME LOANS, INC.",2014,9.0,1,1,1
13-9026,WHITFIELD v. UNITED STATES,2014,9.0,0,1,0
06-1413,"MEADWESTVACO CORPORATION, SUCCESSOR IN INTEREST TO THE MEAD CORPORATION v. ILLINOIS DEPARTMENT OF REVENUE ET AL",2007,9.0,0,0,1
12-142,"MUTUAL PHARMACEUTICAL COMPANY, INC., PETITIONER v. KAREN L. BARTLETT",2012,5.0,1,1,1
08-1224,"UNITED STATES v. GRAYDON EARL COMSTOCK, JR., et al.",2009,7.0,1,1,1
08-861,"FREE ENTERPRISE FUND AND BECKSTEAD AND WATTS, LLP v. PUBLIC COMPANY ACCOUNTING OVERSIGHT BOARD et al.",2009,5.0,0,0,1
09-497,"RENT-A-CENTER, WEST, INC. v. ANTONIO JACKSON",2009,5.0,1,1,1
09-1454,"BOB CAMRETA, PETITIONER v. SARAH GREENE, PERSONALLY AND AS NEXT FRIEND OF S. G., A MINOR, AND K. G., A MINOR",2010,7.0,1,1,1
12-398,"ASSOCIATION FOR MOLECULAR PATHOLOGY, et al., PETITIONERS v. MYRIAD GENETICS, INC., et al.",2012,9.0,1,1,1
12-399,ADOPTIVE COUPLE v. BABY GIRL,2012,5.0,1,1,1
04-712,"LINCOLN PROPERTY COMPANY, et al. v. CHRISTOPHE ROCHE, ET UX.",2005,9.0,1,1,1
05-493,"ROBERT L. AYERS, JR., ACTING WARDEN v. FERNANDO BELMONTES",2006,5.0,1,1,1
12-820,LOZANO v. MONTOYA ALVAREZ,2013,9.0,1,0,0
07-544,"ANTHONY HEDGPETH, WARDEN v. MICHAEL ROBERT PULIDO",2008,6.0,1,1,1
07-543,AT&T CORPORATION v. NOREEN HULTEEN et al.,2008,7.0,1,1,1
07-542,ARIZONA v. RODNEY JOSEPH GANT,2008,5.0,0,1,0
09-11121,"J. D. B., PETITIONER v. NORTH CAROLINA",2010,5.0,1,1,1
13-433,"INTEGRITY STAFFING SOLUTIONS, INC. v. BUSK",2014,9.0,1,1,1
11-5683,"EDWARD DORSEY, SR., PETITIONER  v. UNITED STATES",2011,5.0,1,1,1
12-1128,"MEDTRONIC, INC. v. MIROWSKI FAMILY VENTURES, LLC",2013,9.0,1,1,1
08-6925,CURTIS DARNELL JOHNSON v. UNITED STATES,2009,7.0,0,1,0
04-1034,"JOHN A. RAPANOS, ET UX., et al. v. UNITED STATES",2005,5.0,1,1,0
12-417,SANDIFER v. UNITED STATES STEEL CORP.,2013,9.0,1,1,0
10-568,"NEVADA COMMISSION ON ETHICS, PETITIONER v. MICHAEL A. CARRIGAN",2010,9.0,0,1,1
"105, Orig.",,-1,9.0,1,,
06-5618,MARIO CLAIBORNE v. UNITED STATES,2006,9.0,0,1,0
07-330,GREENLAW v. UNITED STATES,2007,6.0,1,1,1
05-785,"THOMAS L. CAREY, WARDEN v. MATHEW MUSLADIN",2006,9.0,1,1,1
11-139,"UNITED STATES, PETITIONER v. HOME CONCRETE & SUPPLY, LLC, et al.",2011,5.0,0,0,0
04-433,"JOSEPH ANZA, et al. v. IDEAL STEEL SUPPLY CORP.",2005,9.0,1,1,1
06-5754,VICTOR A. RITA v. UNITED STATES,2006,8.0,0,1,1
13-854,"TEVA PHARMS. USA, INC. v. SANDOZ, INC.",2014,7.0,1,1,1
05-5992,JACOB ZEDNER v. UNITED STATES,2005,9.0,1,1,0
12-10882,HALL v. FLORIDA,2013,5.0,0,1,1
13-369,"NAUTILUS, INC. v. BIOSIG INSTRUMENTS, INC",2013,9.0,1,1,1
10-1042,"TAMMY FORET FREEMAN, et al., PETITIONERS v. QUICKEN LOANS, INC.",2011,9.0,0,1,0
10-895,"RAFAEL ARRIAZA GONZALES v. RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",2011,8.0,0,1,0
05-608,"MEDIMMUNE, INC. v. GENENTECH, INC., et al.",2006,8.0,1,1,1
09-5327,ALBERT HOLLAND v. FLORIDA,2009,7.0,0,1,1
05-1256,"PHILIP MORRIS USA v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED",2006,5.0,0,1,1
13-7120,JOHNSON v. UNITED STATES,2014,8.0,1,1,1
10-788,"CHARLES A. REHBERG, PETITIONER v. JAMES P. PAULK",2011,9.0,0,1,0
10-708,"FIRST AMERICAN FINANCIAL CORPORATION, SUCCESSOR IN INTEREST TO THE FIRST AMERICAN CORPORATION, et al., PETITIONERS v. DENISE P. EDWARDS",2011,9.0,0,0,0
09-1343,"J. MCINTYRE MACHINERY, LTD., PETITIONER v. ROBERT NICASTRO, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF ROSEANNE NICASTRO",2010,6.0,0,1,1
07-1428,"FRANK RICCI, et al. v. JOHN DESTEFANO et al.",2008,5.0,1,0,1
10-1195,"MARCUS D. MIMS, PETITIONER v. ARROW FINANCIAL SERVICES, LLC",2011,9.0,1,1,1
13-1175,"CITY OF LOS ANGELES, CALIFORNIA v. PATEL",2014,5.0,0,0,0
04-1376,"HUMBERTO FERNANDEZ-VARGAS v. ALBERTO R. GONZALES, ATTORNEY GENERAL",2005,8.0,1,0,0
12-52,"DAN’S CITY USED CARS, INC., DBA DAN’S CITY AUTO BODY, PETITIONER v. ROBERT PELKEY",2012,9.0,1,1,0
04-1371,"MERRILL LYNCH, PIERCE, FENNER & SMITH INC. v. SHADI DABIT",2005,8.0,1,1,1
04-52,"BERTRAM RICE, WARDEN, et al. v. STEVEN MARTELL COLLINS",2005,9.0,1,1,1
09-400,"VINCENT E. STAUB, PETITIONER v. PROCTOR HOSPITAL",2010,8.0,1,1,1
07-1601,"BURLINGTON NORTHERN AND SANTA FE RAILWAY COMPANY, et al. v. UNITED STATES et al.",2008,8.0,1,1,1
11-864,"COMCAST CORPORATION, et al., PETITIONERS v. CAROLINE BEHREND et al.",2012,5.0,1,1,1
07-1356,KANSAS v. DONNIE RAY VENTRIS,2008,7.0,1,1,1
13-1352,OHIO v. CLARK,2014,9.0,1,1,1
05-352,UNITED STATES v. CUAUHTEMOC GONZALEZ-LOPEZ,2005,5.0,0,0,0
13-316,LOUGHRIN v. UNITED STATES,2013,9.0,1,0,0
07-615,MINISTRY OF DEFENSE AND SUPPORT FOR THE ARMED FORCES OF THE ISLAMIC REPUBLIC OF IRAN v. DARIUSH ELAHI,2008,6.0,1,1,1
11-398,,-1,5.0,0,,
13-317,"HALLIBURTON CO. v. ERICA P. JOHN FUND, INC.",2013,9.0,0,0,1
07-610,"DANIEL B. LOCKE, et al. v. EDWARD A. KARASS, STATE CONTROLLER, et al.",2008,9.0,0,1,0
11-393,"NATIONAL FEDERATION OF INDEPENDENT BUSINESS, et al., PETITIONERS v. KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, et al.",2011,5.0,1,0,0
07-591,LUIS E. MELENDEZ-DIAZ v. MASSACHUSETTS,2008,5.0,0,0,0
12-895,ROSEMOND v. UNITED STATES,2013,7.0,0,0,1
07-1216,"PHILIP MORRIS USA INC. v. MAYOLA WILLIAMS, PERSONAL REPRESENTATIVE OF THE ESTATE OF JESSE D. WILLIAMS, DECEASED",2008,9.0,0,0,1
13-193,SUSAN B. ANTHONY LIST v. DRIEHAUS,2013,9.0,1,1,1
09-893,"AT&T MOBILITY LLC, PETITIONER v. VINCENT CONCEPTION ET UX",2010,5.0,0,1,1
10-98,"JOHN D. ASHCROFT, PETITIONER v. ABDULLAH AL-KIDD",2010,8.0,0,0,1
07-208,INDIANA v. EDWARDS,2007,7.0,1,1,1
05-8820,GARY LAWRENCE v. FLORIDA,2006,5.0,0,0,0
11-551,SALAZAR v. RAMAH NAVAJO CHAPTER,2011,5.0,0,0,0
07-751,"CORDELL PEARSON, et al. v. AFTON CALLAHAN",2008,9.0,1,1,1
06-1322,"FEDERAL EXPRESS CORPORATION v. PAUL HOLOWECKI, ET AL",2007,7.0,1,1,0
06-1321,"MYRNA GOMEZ-PEREZ v. JOHN E. POTTER, POSTMASTER GENERAL",2007,6.0,0,1,1
12-562,UNITED STATES v. WOODS,2013,9.0,1,1,1
05-983,"JACOB WINKELMAN, A MINOR, BY AND THROUGH HIS PARENTS AND LEGAL GUARDIANS, JEFF AND SANDEE WINKELMAN, et al. v. PARMA CITY SCHOOL DISTRICT",2006,7.0,1,1,1
10-9995,"PATRICK WOOD, PETITIONER v. KEVIN MILYARD, WARDEN, et al.",2011,9.0,1,1,1
08-645,TIMOTHY MARK CAMERON ABBOTT v. JACQUELYN VAYE ABBOTT,2009,6.0,1,1,1
06-1286,"MICHAEL J. KNIGHT, TRUSTEE OF THE WILLIAM L. RUDKIN TESTAMENTARY TRUST v. COMMISSIONER OF INTERNAL REVENUE",2007,9.0,0,0,1
08-351,"ANITA ALVAREZ, COOK COUNTY STATE'S ATTORNEY v. CHERMANE SMITH et al.",2009,8.0,1,1,1
04-1414,UNITED STATES v. JEFFREY GRUBBS,2005,8.0,1,1,1
08-1301,THOMAS CARR v. UNITED STATES,2009,6.0,1,1,0
08-453,"ANDREW M. CUOMO, ATTORNEY GENERAL OF NEW YORK v. THE CLEARING HOUSE ASSOCIATION, L. L. C., et al.",2008,5.0,0,0,0
09-115,"CHAMBER OF COMMERCE OF THE UNITED STATES OF AMERICA, et al., PETITIONERS v. MICHAEL B. WHITING ET AL",2010,5.0,0,0,0
06-340,"NATIONAL ASSOCIATION OF HOME BUILDERS, et al. v. DEFENDERS OF WILDLIFE et al.",2006,5.0,1,1,1
05-502,"BRIGHAM CITY, UTAH v. CHARLES W. STUART et al.",2005,8.0,1,1,1
11-982,"ALREADY, LLC, DBA YUMS, PETITIONER v. NIKE, INC.",2012,9.0,0,0,0
08-1065,"POTTAWATTAMIE COUNTY, IOWA, et al., PETITIONERS v. CURTIS W. MCGHEE, JR., et al.",2009,9.0,0,0,0
06-1456,HUMBERTO FIDEL REGALADO CUELLAR v. UNITED STATES,2007,9.0,1,1,0
06-1457,"MORGAN STANLEY CAPITAL GROUP INC. v. PUBLIC UTILITY DISTRICT NO. 1 OF SNOHOMISH COUNTY, WASHINGTON, et al.",2007,5.0,1,1,0
12-17,"MARK J. MCBURNEY, et al., PETITIONERS v. NATHANIEL L. YOUNG, DEPUTY COMMISSIONER AND DIRECTOR, VIRGINIA DIVISION OF CHILD SUPPORT ENFORCEMENT, et al.",2012,9.0,1,1,0
12-10,"AGENCY FOR INTERNATIONAL DEVELOPMENT, et al., PETITIONERS v. ALLIANCE FOR OPEN SOCIETY INTERNATIONAL, INC., et al.",2012,6.0,1,0,0
05-184,"SALIM AHMED HAMDAN v. DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al.",2005,5.0,1,1,1
09-987,"ARIZONA CHRISTIAN SCHOOL TUITION ORGANIZATION, PETITIONER v. KATHLEEN M. WINN et al.",2010,5.0,1,1,1
06-413,"JEFFREY UTTECHT, SUPERINTENDENT, WASHINGTON STATE PENITENTIARY v. CAL COBURN BROWN",2006,5.0,1,1,1
12-1182,EPA v. EME HOMER CITY GENERATION,2013,6.0,1,1,1
11-10189,"CARLOS TREVINO, PETITIONER v. RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION",2012,5.0,1,1,1
09-1088,"VINCENT CULLEN, ACTING WARDEN, PETITIONER v. SCOTT LYNN PINHOLSTER",2010,5.0,1,1,1
07-290,DISTRICT OF COLUMBIA v. HELLER,2007,5.0,0,0,0
12-696,TOWN OF GREECE v. GALLOWAY,2013,5.0,1,1,1
07-1315,"MICHAEL A. KNOWLES, WARDEN v. ALEXANDRE MIRZAYANCE",2008,9.0,1,1,1
09-1298,"GENERAL DYNAMICS CORPORATION, PETITIONER, v. UNITED STATES",2010,9.0,1,1,1
11-556,"MAETTA VANCE, PETITIONER v. BALL STATE UNIVERSITY",2012,5.0,1,0,0
14-15,"ARMSTRONG v. EXCEPTIONAL CHILD CENTER, INC.",2014,5.0,1,1,1
12-133,"AMERICAN EXPRESS COMPANY, et al., PETITIONERS v. ITALIAN COLORS RESTAURANT, et al.",2012,5.0,1,1,1
12-135,"OXFORD HEALTH PLANS LLC, PETITIONER v. JOHN IVAN SUTTER",2012,9.0,0,0,0
12-138,BG GROUP PLC v. REPUBLIC OF ARGENTINA,2013,7.0,1,1,1
10-1265,"MICHAEL MARTEL, WARDEN, PETITIONER v. KENNETH CLAIR",2011,9.0,1,1,1
10-1261,"CREDIT SUISSE SECURITIES (USA) LLC, et al., PETITIONERS v. VANESSA SIMMONDS",2011,8.0,1,1,1
08-911,"AGRON KUCANA v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2009,9.0,1,1,1
10-218,"PPL MONTANA, LLC, PETITIONER v. MONTANA",2011,9.0,1,1,1
11-159,"MICHAEL J. ASTRUE, COMMISSIONER OF SOCIAL SECURITY, PETITIONER v. KAREN K. CAPATO, ON BEHALF OF B. N. C., et al.",2011,9.0,1,1,1
07-371,TAYLOR v. STURGELL,2007,9.0,1,1,1
12-144,HOLLINGSWORTH v. PERRY,2012,5.0,1,1,1
05-8794,"CLARENCE E. HILL v. JAMES R. MCDONOUGH, INTERIM SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS, et al.",2005,9.0,0,1,1
05-130,"EBAY INC., et al. v. MERCEXCHANGE, L. L. C.",2005,9.0,0,1,1
12-873,"LEXMARK INT'L, INC. v. STATIC CONTROL COMPONENTS, INC.,",2013,9.0,1,0,0
12-1315,"PETRELLA v. METRO-GOLDWYN-MAYER, INC.",2013,6.0,1,1,1
06-484,"TELLABS, INC., et al. v. MAKOR ISSUES & RIGHTS, LTD., et al.",2006,8.0,1,1,1
12-123,"MARVIN D. HORNE, et al., PETITIONERS v. DEPARTMENT OF AGRICULTURE",2012,9.0,1,1,1
13-534,NC BD. OF DENTAL EXAMINERS v. FTC,2014,6.0,1,0,0
06-480,"LEEGIN CREATIVE LEATHER PRODUCTS, INC. v. PSKS, INC., DBA KAY'S KLOSET . . . KAY'S SHOES",2006,5.0,1,1,1
"138, Orig.",STATE OF SOUTH CAROLINA v. STATE OF NORTH CAROLINA,2009,5.0,1,1,1
12-9012,ROBERS v. UNITED STATES,2013,9.0,0,0,0
07-9712,JAMES BENJAMIN PUCKETT v. UNITED STATES,2008,7.0,1,0,1
09-337,WANDA KRUPSKI v. COSTA CROCIERE S. P. A.,2009,9.0,1,1,1
10-1001,"LUIS MARIANO MARTINEZ, PETITIONER v. CHARLES L. RYAN, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS",2011,7.0,0,0,1
06-9130,ABDUS-SHAHID M. S. ALI v. FEDERAL BUREAU OF PRISONS ET AL,2007,5.0,0,0,0
08-1119,"MILAVETZ, GALLOP & MILAVETZ, P. A., et al. v. UNITED STATES",2009,9.0,1,1,1
04-1332,"RICHARD WILL, et al. v. SUSAN HALLOCK, et al.",2005,9.0,0,0,1
10-1491,"ESTHER KIOBEL, INDIVIDUALLY AND ON BEHALF OF HER LATE HUSBAND, DR. BARINEM KIOBEL, et al., PETITIONERS v. ROYAL DUTCH PETROLEUM CO. et al.",2012,9.0,0,0,0
13-553,"ALA. DEP'T OF REVENUE v. CSX TRANSP., INC.",2014,5.0,1,1,1
09-6822,"JASON PEPPER, PETITIONER v. UNITED STATES",2010,6.0,1,1,0
05-5966,ERIC MICHAEL CLARK v. ARIZONA,2005,5.0,1,1,0
06-1287,"CSX TRANSPORTATION, INC. v. GEORGIA STATE BOARD OF EQUALIZATION ET AL",2007,9.0,1,1,1
12-1163,HIGHMARK INC. v. ALLCARE HEALTH MGMT. SYS.,2013,9.0,1,1,1
10-694,"JOEL JUDULANG, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL",2011,9.0,1,1,1
10-699,"MENACHEM BINYAMIN ZIVOTOFSKY, BY HIS PARENTS AND GUARDIANS, ARI Z. AND NAOMI SIEGMAN ZIVOTOFSKY, PETITIONER v. HILLARY RODHAM CLINTON, SECRETARY OF STATE",2011,8.0,1,1,1
12-1168,MCCULLEN v. COAKLEY,2013,9.0,1,0,1
11-1351,"STEVEN ALAN LEVIN, PETITIONER v. UNITED STATES et al.",2012,9.0,1,1,1
07-1529,JESSE JAY MONTEJO v. LOUISIANA,2008,5.0,0,0,1
05-85,"POWEREX CORP. v. RELIANT ENERGY SERVICES, INC., et al.",2006,7.0,1,1,1
13-1019,"MACH MINING, LLC, v. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION",2014,9.0,1,1,1
05-83,WASHINGTON v. ARTURO R. RECUENCO,2005,7.0,1,1,1
07-77,"BOB RILEY, GOVERNOR OF ALABAMA v. YVONNE KENNEDY ET AL",2007,7.0,1,1,1
09-1156,"MATRIXX INITIATIVES, INC., et al., PETITIONERS v. JAMES SIRACUSANO et al.",2010,9.0,1,1,0
06-1082,VIRGINIA v. DAVID LEE MOORE,2007,9.0,1,1,1
11-1450,"THE STANDARD FIRE INSURANCE COMPANY, PETITIONER v. GREG KNOWLES",2012,9.0,1,1,1
13-212,,-1,9.0,0,,
11-697,"SUPAP KIRTSAENG, DBA BLUECHRISTINE99, PETITIONER v. JOHN WILEY & SONS, INC.",2012,6.0,0,0,1
04-1527,S. D. WARREN COMPANY v. MAINE BOARD OF ENVIRONMENTAL PROTECTION et al.,2005,9.0,1,1,0
06-637,"BOARD OF EDUCATION OF THE CITY SCHOOL DISTRICT OF THE CITY OF NEW YORK v. TOM F., ON BEHALF OF GILBERT F., A MINOR CHILD",2007,4.0,0,0,0
09-804,"CIGNA CORPORATION, et al., PETITIONERS v. JANICE C. AMARA, et al., INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",2010,8.0,0,0,1
10-779,"SORRELL, ATTORNEY GENERAL OF VERMONT, et al. v. IMS HEALTH INC. ET AL",2010,6.0,0,0,0
04-1528,"NEIL RANDALL, et al. v. WILLIAM H. SORRELL et al.",2005,6.0,1,1,1
13-1499,WILLIAMS–YULEE v. THE FLORIDA BAR,2014,5.0,0,0,0
10-174,"AMERICAN ELECTRIC POWER COMPANY, INC., et al., PETITIONERS v. CONNECTICUT ET AL",2010,8.0,1,1,1
07-1410,UNITED STATES v. NAVAJO NATION,2008,9.0,1,1,1
12-7515,BURRAGE v. UNITED STATES,2013,9.0,1,1,1
04-1244,"JOSEPH SCHEIDLER, et al. v. NATIONAL ORGANIZATION FOR WOMEN, INC., et al.",2005,8.0,1,1,1
10-179,"HOWARD K. STERN, EXECUTOR OF THE ESTATE OF VICKI LYNN MARSHALL, PETITIONER, v. ELAINE T. MARSHALL, EXECUTRIX OF THE ESTATE OF E. PIERCE MARSHALL",2010,5.0,1,0,0
