,amicus,argDate,argMonth,argYear,caseName,cutoffs_ALL,cutoffs_BREYER,cutoffs_GINSBURG,cutoffs_KENNEDY,cutoffs_ROBERTS,cutoffs_SCALIA,decDate,majVotes,minVotes,winner,words_BREYER,words_GINSBURG,words_KENNEDY,words_ROBERTS,words_SCALIA,sentiment_BREYER,sentiment_GINSBURG,sentiment_KENNEDY,sentiment_ROBERTS,sentiment_SCALIA,petitioner_dk,respondent_dk,caseOrigin_circuit,caseSource_circuit,source_origin_diff,lcDispositionDirection,lcDisposition,issueArea,certReason,jurisdiction,adminAction,adminActionState,BREYER_pet_wc,BREYER_res_wc,BREYER_pet_qc,BREYER_res_qc,BREYER_pet_cc,BREYER_res_cc,GINSBURG_pet_wc,GINSBURG_res_wc,GINSBURG_pet_qc,GINSBURG_res_qc,GINSBURG_pet_cc,GINSBURG_res_cc,KENNEDY_pet_wc,KENNEDY_res_wc,KENNEDY_pet_qc,KENNEDY_res_qc,KENNEDY_pet_cc,KENNEDY_res_cc,ROBERTS_pet_wc,ROBERTS_res_wc,ROBERTS_pet_qc,ROBERTS_res_qc,ROBERTS_pet_cc,ROBERTS_res_cc,SCALIA_pet_wc,SCALIA_res_wc,SCALIA_pet_qc,SCALIA_res_qc,SCALIA_pet_cc,SCALIA_res_cc
04-1203,0,11/9/2005,11,2005,UNITED STATES v. GEORGIA et al.,6,0.789473684,0.4,-1,-0.333333333,-0.407407407,1/10/2006,9,0,1,0.810490694,0.61038961,-0.845410628,-0.456621005,-0.204778157,-0.185925363,-0.094191919,-0.528392857,0.101088865,-0.094630213,2.0,5.0,11.0,11.0,1,1.0,2.0,10,11.0,1,0,0,56,535,0,8,2,40,105,372,2,6,7,24,191,16,3,0,12,3,319,119,4,0,18,6,354,233,8,6,32,20
04-1244,1,11/30/2005,11,2005,JOSEPH SCHEIDLER et al. v. NATIONAL ORGANIZATION FOR WOMEN INC. et al.,17,0.75,0.2,-1,0.777777778,0.583333333,2/28/2006,8,0,1,0.769470405,0.038798498,-1,0.302052786,0.743119266,0.096323052,0.061717372,0.039166667,0.004662698,0.209546703,14.0,14.0,7.0,7.0,1,2.0,11.0,5,11.0,1,0,0,74,568,1,5,4,35,387,415,5,6,25,26,237,0,8,0,16,1,119,222,0,6,7,17,148,763,5,6,12,51
04-1264,0,11/29/2005,11,2005,BUCKEYE CHECK CASHING INC. v. JOHN CARDEGNA et al.,-4,0,0.666666667,-1,-0.428571429,0.111111111,2/21/2006,7,1,1,0.658932715,0.377245509,-1,-0.424929178,0.539906103,0.081767037,-0.098181217,-0.080406746,-0.017656403,0.074444805,1.0,0.0,0.0,0.0,1,2.0,1.5,8,12.0,1,0,0,147,715,1,3,10,28,158,345,2,6,10,26,167,0,3,0,12,1,503,203,3,1,21,7,147,492,3,6,10,27
04-1324,-1,2/27/2006,2,2006,PATRICK DAY v. JAMES R. MCDONOUGH INTERIM SECRETARY FLORIDA DEPARTMENT OF CORRECTIONS,-21,-0.5,-0.652173913,-1,0.230769231,-0.333333333,4/25/2006,6,3,0,0.328767123,-0.255930087,-1,0.278825996,0.136915078,0.067470238,-0.021807359,0.140401786,-0.065075266,0.117383658,3.0,5.0,11.0,11.0,1,1.0,2.0,1,2.0,1,0,0,147,291,1,5,13,17,503,298,7,2,42,13,100,0,2,0,10,1,172,305,4,4,12,19,332,328,9,5,27,18
04-1327,-1,2/22/2006,2,2006,BOBBY LEE HOLMES v. SOUTH CAROLINA,8,0.111111111,0.428571429,-0.333333333,-1,0.333333333,5/1/2006,9,0,1,0.450134771,0.685823755,-0.28,-0.897435897,-0.04,-0.022727743,-0.102698413,0.224570175,-0.191997354,-0.271200397,3.0,5.0,0.0,0.0,1,1.0,2.0,4,12.0,1,0,0,204,538,4,6,14,38,41,220,1,7,3,14,256,144,0,2,11,8,777,42,8,0,30,3,312,290,4,6,13,24
04-1329,1,11/29/2005,11,2005,ILLINOIS TOOL WORKS INC. et al. v. INDEPENDENT INK INC.,-4,0.1,1,0,0,0,3/1/2006,8,0,1,0.43100189,-0.16097561,0.044776119,0.148648649,0.471810089,-0.164726158,0.008333333,-0.277083333,0.031853408,-0.123697917,0.0,1.0,9.0,9.0,1,2.0,4.0,8,11.0,1,0,0,304,805,7,0,23,43,122,90,0,2,8,5,96,105,1,0,6,5,189,255,4,6,9,14,89,248,2,0,5,14
04-1332,0,11/28/2005,11,2005,RICHARD WILL et al. v. SUSAN HALLOCK et al.,-13,-0.142857143,-0.230769231,-0.333333333,-0.2,-1,1/18/2006,9,0,1,0.172161172,-0.271276596,0.068181818,0.256997455,-1,0.047333024,0.03294335,0.011666667,-0.034847536,0.116581633,0.0,1.0,2.0,2.0,1,2.0,2.0,9,11.0,1,0,0,452,640,6,5,27,32,478,300,12,2,25,19,82,94,0,3,4,6,146,247,3,4,9,9,140,0,4,0,7,1
04-1350,1,11/28/2006,11,2006,KSR INTERNATIONAL CO. v. TELEFLEX INC. et al.,6,1,-1,-0.6,0.714285714,0.666666667,4/30/2007,9,0,1,0.498587571,-1,-0.134185304,0.197368421,0.430656934,-0.003921835,0.193169643,-0.007883089,0.116225198,-0.134475917,0.0,0.0,6.0,13.0,0,1.0,1.5,8,2.0,1,0,0,398,1067,5,15,24,44,295,0,6,0,17,1,355,271,9,1,22,13,194,273,2,6,8,16,156,392,4,3,8,25
04-1360,-1,5/18/2006,5,2006,BOOKER T. HUDSON JR. v. MICHIGAN,25,0.777777778,0.333333333,-1,-0.272727273,-0.538461538,6/15/2006,5,4,0,0.683221477,0.207843137,-1,-0.126564673,-0.878116343,-0.200634921,0.011210317,-0.156565657,0.03101213,0.064592549,3.0,5.0,0.0,0.0,1,1.0,1.5,1,12.0,1,0,0,118,638,1,3,5,55,102,154,5,2,7,11,251,0,4,0,15,1,405,314,8,5,24,20,678,44,9,1,44,4
04-1371,0,1/18/2006,1,2006,MERRILL LYNCH PIERCE FENNER & SMITH INC. v. SHADI DABIT,37,1,0.333333333,1,0,0.846153846,3/21/2006,8,0,1,1,0.318032787,1,-0.179190751,0.776595745,-0.031750541,-0.294936508,-0.016666667,-0.072151361,0.027530556,1.0,11.0,2.0,2.0,1,2.0,5.0,10,2.0,1,0,0,0,714,0,9,1,55,261,201,3,2,14,11,0,55,0,2,1,6,245,142,2,0,14,13,78,509,3,9,7,53
04-1376,0,3/22/2006,3,2006,HUMBERTO FERNANDEZ-VARGAS v. ALBERTO R. GONZALES ATTORNEY GENERAL,1,-0.2,0.714285714,0.166666667,-0.538461538,-0.153846154,6/22/2006,8,1,0,0.055359246,-0.318518519,-0.213483146,-0.264270613,-0.542521994,-0.03237345,-0.733571429,-0.049621212,-0.005260417,-0.17040338,9.0,2.0,10.0,10.0,1,1.0,-1,2,2.0,1,1,0,401,448,5,9,34,40,185,95,3,3,11,10,108,70,2,2,8,10,299,174,3,2,20,9,789,243,4,5,54,25
04-1414,0,1/18/2006,1,2006,UNITED STATES v. JEFFREY GRUBBS,-10,1,0.8,-1,-0.6,-0.333333333,3/21/2006,8,0,1,0.870669746,0.750445633,-1,-0.208080808,0.361153263,-0.185776942,-0.041697192,0.205357143,0.1296875,0.024816602,2.0,3.0,9.0,9.0,1,2.0,1.5,1,12.0,1,0,0,56,940,0,10,3,60,70,551,2,12,5,30,179,0,1,0,11,1,299,214,3,5,14,18,421,901,8,12,30,52
04-1477,-1,1/17/2006,1,2006,GARY KENT JONES v. LINDA K. FLOWERS et al.,2,0.4,-0.111111111,-1,0.818181818,-0.333333333,4/26/2006,5,3,1,0.680327869,-0.130434783,-0.612612613,0.569823435,-0.448275862,0.139461214,0.14047619,0.178571429,-0.247069597,0.022379493,0.0,1.0,0.0,0.0,1,1.0,2.0,4,5.0,1,1,1,129,631,10,6,17,34,237,180,4,2,14,13,179,43,3,1,8,5,134,489,5,4,8,29,464,176,12,2,27,15
04-1495,0,1/10/2006,1,2006,MICHAEL HARTMAN FRANK KORMANN PIERCE MCINTOSH NORMAN ROBBINS AND ROBERT EDWARDS v. WILLIAM G. MOORE JR.,2,0.142857143,-1,-0.25,0,0.454545455,4/26/2006,5,2,1,0.443902439,-1,-0.045544554,0,0.403128761,0.118214023,0.091666667,-0.107051282,0,-0.09194306,0.0,1.0,12.0,12.0,1,2.0,2.0,3,2.0,1,0,0,456,1188,5,15,28,95,294,0,8,0,20,1,264,243,4,3,12,18,0,0,0,0,1,1,254,605,6,8,13,44
04-1506,1,2/27/2006,2,2006,ARKANSAS DEPARTMENT OF HEALTH AND HUMAN SERVICES et al. v. HEIDI AHLBORN,-7,0.5,0,-0.5,-0.2,0.428571429,5/1/2006,9,0,0,0.340253749,-0.403899721,-0.752688172,-0.149253731,0.701149425,0.019151077,0.14360119,-0.247132035,0.094217687,0.160857143,5.0,0.0,8.0,8.0,1,2.0,1.5,2,2.0,1,0,0,293,587,3,8,22,28,252,107,3,5,15,7,659,92,12,2,44,5,385,285,4,5,24,14,104,592,4,10,12,30
04-1527,-1,3/28/2006,3,2006,S. D. WARREN COMPANY v. MAINE BOARD OF ENVIRONMENTAL PROTECTION et al.,18,-0.6,-1,0.333333333,0.428571429,1,5/15/2006,9,0,0,-0.550684932,-1,-0.605263158,0.166116612,0.907344633,0.000983437,0.085714286,-0.025,0.003338294,-0.033842857,1.0,5.0,0.0,0.0,1,2.0,2.0,8,12.0,1,1,0,566,164,13,5,42,11,135,0,0,0,6,1,128,30,1,2,8,4,379,530,7,10,17,43,41,844,0,10,3,60
04-1528,-1,2/28/2006,2,2006,NEIL RANDALL et al. v. WILLIAM H. SORRELL et al.,8,1,-1,-0.714285714,0.636363636,0.375,6/26/2006,6,3,1,1,-0.290909091,-0.684813754,0.586206897,0.565533981,-0.067851307,-0.103703704,-0.069821429,-0.086419753,-0.12960368,0.0,0.0,2.0,2.0,1,1.0,5.0,3,11.0,1,0,0,0,685,0,9,1,52,175,78,4,2,9,4,296,55,6,0,21,3,96,368,2,7,4,25,179,645,4,5,17,44
04-1544,1,2/28/2006,2,2006,VICKIE LYNN MARSHALL v. E. PIERCE MARSHALL,5,0.272727273,0,0,0.333333333,-0.333333333,5/1/2006,9,0,1,0.713713714,0.170068027,0.581920904,-0.240641711,-0.426966292,0.205929233,-0.142798521,-0.346666667,-0.050846475,0.177699176,7.0,0.0,9.0,9.0,1,1.0,5.0,9,7.0,1,0,0,143,856,2,9,13,34,305,430,4,2,19,24,37,140,1,2,4,6,232,142,3,3,15,9,381,153,7,2,31,10
04-1581,0,1/17/2006,1,2006,WISCONSIN RIGHT TO LIFE INC. v. FEDERAL ELECTION COMMISSION,0,-0.333333333,1,1,0.2,0.714285714,1/23/2006,9,0,1,-0.389513109,-0.441048035,1,0.695716396,0.84,-0.06781559,-0.051,-0.136742581,0.052624362,-0.460838294,14.0,2.0,12.0,12.0,1,1.0,9.0,3,1.0,2,0,0,742,326,8,6,33,20,165,64,4,3,6,5,0,297,0,5,1,21,105,654,3,5,7,32,51,414,2,8,5,25
04-1618,1,3/1/2006,3,2006,NORTHERN INSURANCE COMPANY OF NEW YORK v. CHATHAM COUNTY GEORGIA,2,0,1,-1,0.2,-0.428571429,4/25/2006,9,0,1,0,0.783783784,-1,0.064327485,0.116483516,0,0.014583333,0.036904762,0.144326507,0.177901786,1.0,4.0,11.0,11.0,1,1.0,2.0,8,11.0,1,0,0,0,0,0,0,1,1,12,99,1,6,1,8,98,0,5,0,6,1,240,273,2,2,13,17,201,255,3,3,17,28
04-1704,1,3/1/2006,3,2006,DAIMLERCHRYSLER CORPORATION v. CHARLOTTE CUNO et al.,-11,-1,-0.777777778,1,-0.263157895,-0.066666667,5/15/2006,9,0,1,-0.808139535,-0.157088123,1,0.027272727,0.330434783,0.018989344,0.129847756,-0.2,-0.070063025,-0.057964853,1.0,8.0,6.0,6.0,1,2.0,6.0,9,2.0,1,0,0,311,33,1,2,27,2,302,223,4,1,22,14,0,25,0,0,1,3,321,341,5,3,20,21,231,474,8,8,26,34
04-1739,1,3/27/2006,3,2006,JEFFREY A. BEARD SECRETARY PENNSYLVANIA DEPARTMENT OF CORRECTIONS v. RONALD BANKS INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED,5,-0.2,-0.2,1,1,0.428571429,6/28/2006,6,2,1,0.395833333,-0.436008677,0.558528428,0.411570248,0.355555556,0.280059524,0.017233202,0.054385965,0.004195135,0.058035714,0.0,3.0,3.0,3.0,1,2.0,4.0,3,12.0,1,0,0,145,335,5,3,10,21,333,130,4,1,20,6,66,233,3,0,4,12,178,427,3,9,9,32,87,183,4,5,7,12
04-373,1,11/1/2005,11,2005,MARYLAND v. LEEANDER JEROME BLAKE,-32,-0.523809524,-0.166666667,0.083333333,1,0.181818182,11/14/2005,9,0,0,-0.101809955,-0.491891892,0,0.640495868,0.221020093,0.052134977,0.002991071,0.006534803,-0.153146259,0.206024531,5.0,3.0,0.0,0.0,1,2.0,4.0,9,-1,1,0,0,514,400,15,1,62,22,554,188,14,1,36,20,430,417,4,3,36,47,89,460,0,6,9,38,252,395,5,5,20,37
04-433,0,3/27/2006,3,2006,JOSEPH ANZA et al. v. IDEAL STEEL SUPPLY CORP.,7,-1,1,-1,0,0.384615385,6/5/2006,9,0,1,0.603133159,0.324271845,-1,-0.172588832,0.44047619,0.070529101,-0.125908773,0.183333333,0.096810224,-0.02969246,1.0,1.0,2.0,2.0,1,2.0,8.0,9,12.0,1,0,0,152,704,0,2,11,35,174,345,5,6,9,17,66,0,2,0,3,1,231,163,1,1,10,11,188,495,3,9,14,48
04-473,1,3/21/2006,3,2006,GIL GARCETTI et al. v. RICHARD CEBALLOS,7,0.294117647,0.090909091,0.777777778,0.272727273,0.36,5/30/2006,5,4,1,0.696551724,0.018656716,0.846153846,0.265605875,0.212449256,-0.086119949,0.003660714,-0.267574786,0.04255322,0.120959384,4.0,11.0,9.0,9.0,1,2.0,4.0,3,12.0,1,0,0,154,867,4,12,12,65,263,280,8,2,19,22,45,500,0,5,3,43,320,517,6,8,22,37,316,450,4,9,24,41
04-52,0,12/5/2005,12,2005,BERTRAM RICE WARDEN et al. v. STEVEN MARTELL COLLINS,2,0.142857143,0.666666667,-0.75,0.5,0,1/18/2006,9,0,1,0.362162162,0.286995516,0.134978229,0.466403162,0.51159618,0.355800866,0.051551162,0.189569627,-0.172361111,0.208482143,5.0,3.0,9.0,9.0,1,2.0,4.0,1,13.0,1,0,0,177,378,3,4,12,29,165,309,0,4,10,24,349,402,5,2,22,22,135,374,1,8,5,19,201,554,3,5,10,24
04-593,0,12/6/2005,12,2005,DOMINO'S PIZZA INC. et al. v. JOHN MCDONALD,16,0.384615385,0.2,-0.5,-0.333333333,1,2/22/2006,8,0,1,0.097447796,0.529976019,-0.616071429,-0.138643068,1,0.050374202,-0.057142857,-0.268005952,-0.058441558,-0.015533541,1.0,1.0,9.0,9.0,1,2.0,1.5,2,2.0,1,0,0,389,480,6,5,23,29,104,322,2,2,6,24,184,43,6,1,18,5,198,148,8,2,11,11,0,850,0,8,1,53
04-597,1,11/2/2005,11,2005,UNITHERM FOOD SYSTEMS INC. v. SWIFT-ECKRICH INC. DBA CONAGRA REFRIGERATED FOODS,26,1,0.333333333,-1,0.333333333,-0.111111111,1/23/2006,7,2,1,1,0.10989011,-1,0.262886598,-0.415426252,0.010678571,0.01237985,0.271551948,-0.057426948,-0.068531032,1.0,1.0,10.0,13.0,0,2.0,5.0,9,12.0,1,0,0,0,443,0,7,1,30,810,1013,1,7,43,55,209,0,3,0,16,1,152,245,4,3,15,16,600,216,11,6,40,16
04-607,1,3/21/2006,3,2006,LABORATORY CORPORATION OF AMERICA HOLDINGS DBA LABCORP v. METABOLITE LABORATORIES INC. et al.,-16,-0.333333333,-1,-1,0,-0.333333333,6/22/2006,5,3,0,0.087962963,-1,-1,0,0.113207547,0.126046224,0.253472222,-0.172172619,0,0.148491071,1.0,1.0,10.0,13.0,0,1.0,2.0,9,-1,1,0,0,397,470,4,4,30,18,146,0,3,0,10,1,340,0,9,0,21,1,0,0,0,0,1,1,188,241,7,3,11,13
04-623,0,10/5/2005,10,2005,ALBERTO R. GONZALES ATTORNEY GENERAL et al. v. OREGON et al.,-16,-0.272727273,0.090909091,-0.2,0.25,0.733333333,1/17/2006,6,3,0,0.38573156,0.110169492,-0.459854015,0.506382979,0.865047233,0.036990787,0.054707792,-0.081150794,0.023237179,0.409631643,3.0,5.0,9.0,9.0,1,2.0,2.0,5,12.0,1,0,0,254,579,6,12,23,31,210,265,1,9,12,21,200,74,4,0,10,5,116,357,2,8,7,25,50,699,2,12,6,44
04-631,-1,10/3/2005,10,2005,JOAN WAGNON SECRETARY KANSAS DEPARTMENT OF REVENUE v. PRAIRIE BAND POTAWATOMI NATION,44,0.444444444,-0.5,0.5,0.428571429,-0.142857143,12/6/2005,7,2,1,0.681318681,-0.818181818,0.172011662,0.255360624,0.364705882,0.023230272,0.02875,-0.083021542,0.076942356,-0.238839286,5.0,6.0,10.0,10.0,1,2.0,1.5,2,12.0,1,0,0,174,918,3,21,24,85,426,42,3,0,24,3,142,208,1,9,8,20,191,322,2,5,9,24,115,237,5,3,16,21
04-698,-1,10/5/2005,10,2005,SCHAFFER A MINOR BY HIS PARENTS AND NEXT FRIENDS SCHAFFER ET VIR et al. v. WEAST SUPERINTENDENT MONTGOMERY COUNTY PUBLIC SCHOOLS et al.,17,0.125,0.222222222,0.272727273,0,0.034482759,11/14/2005,6,2,0,-0.228915663,0.312796209,-0.069620253,0,0.012805588,0.016142722,-0.122942774,0.358333333,0,0.054925868,0.0,4.0,4.0,4.0,1,1.0,1.5,2,11.0,1,1,1,513,392,7,5,31,28,290,558,8,8,19,26,169,147,0,3,12,11,0,0,0,0,1,1,449,435,9,9,41,37
04-712,0,10/11/2005,10,2005,LINCOLN PROPERTY COMPANY et al. v. CHRISTOPHE ROCHE ET UX.,33,0.789473684,0.166666667,0,-0.6,1,11/29/2005,9,0,1,0.746835443,0.040527804,0,-0.431578947,1,0.093227513,0.075682773,0,-0.10672619,-0.178030303,0.0,0.0,4.0,4.0,1,1.0,5.0,9,2.0,1,0,0,130,902,0,16,4,63,509,559,6,8,22,31,0,0,0,0,1,1,204,81,3,1,11,4,0,161,0,7,1,18
04-721,0,11/9/2005,11,2005,MIKE EVANS ACTING WARDEN v. REGINALD CHAVIS,-24,-0.315789474,-1,0.2,-0.2,0.151515152,1/10/2006,9,0,1,-0.137962128,-0.606060606,0.195121951,-0.261627907,0.151979566,-0.108556739,-0.163425926,0,0.280735931,0.008413462,5.0,3.0,9.0,9.0,1,2.0,4.0,1,12.0,1,0,0,1320,960,27,16,134,56,106,26,1,3,8,3,33,53,2,2,3,8,220,127,5,2,15,8,391,451,7,6,40,37
04-759,0,10/12/2005,10,2005,UNITED STATES v. JOSEPH OLSON et al.,-3,1,-0.666666667,-0.333333333,-0.166666667,0.285714286,11/8/2005,9,0,1,1,-0.191919192,-0.646376812,0.19140625,0.390243902,-0.001246693,-0.015625,-0.264255952,-0.087046807,-0.102916667,2.0,11.0,9.0,9.0,1,2.0,1.5,8,12.0,1,0,0,0,692,0,5,1,41,177,120,3,5,10,11,284,61,4,0,16,3,207,305,4,2,14,13,205,393,2,5,17,30
04-805,1,1/10/2006,1,2006,TEXACO INC. v. FOUAD N. DAGHER et al.,3,-0.333333333,1,-1,-0.333333333,0.8,2/28/2006,8,0,1,0.194117647,0.690851735,-0.431506849,0.38245614,0.789644013,0.094942366,0.126714286,-0.021268988,0.068600469,-0.005641234,1.0,0.0,9.0,9.0,1,2.0,1.5,8,11.0,1,0,0,570,822,12,10,43,53,49,268,1,6,3,18,209,83,4,1,11,3,176,394,1,3,7,17,65,553,1,14,3,46
04-848,0,11/7/2005,11,2005,BARBARA DOLAN v. UNITED STATES POSTAL SERVICE et al.,46,0.714285714,0.166666667,1,0.142857143,0.24137931,2/22/2006,7,1,1,0.335120643,0.044897959,1,-0.31920904,0.222011385,-0.017546898,-0.050541126,-0.057427536,-0.136083003,0.073924394,0.0,2.0,3.0,3.0,1,1.0,2.0,8,2.0,1,1,0,291,498,3,7,24,33,234,261,2,7,17,28,0,459,0,7,1,37,468,246,5,6,30,27,238,322,4,3,29,32
04-881,0,11/2/2005,11,2005,JAMES LOCKHART v. UNITED STATES et al.,-31,-0.523809524,1,-0.75,0,-1,12/7/2005,9,0,0,-0.344827586,1,-0.531135531,-0.394736842,-0.834862385,0.05472619,-0.03125,-0.225892857,-0.369047619,0.304545455,0.0,2.0,9.0,9.0,1,1.0,2.0,9,2.0,1,0,0,589,285,8,0,51,20,0,82,0,0,1,4,209,64,1,0,13,5,53,23,0,1,3,2,100,9,1,1,4,1
04-885,0,10/31/2005,10,2005,CENTRAL VIRGINIA COMMUNITY COLLEGE et al. v. BERNARD KATZ LIQUIDATING SUPERVISOR FOR WALLACE'S BOOKSTORES INC.,3,1,0,-0.714285714,1,0.375,1/23/2006,5,4,0,0.179487179,-0.304703476,-0.560185185,0.836298932,-0.060693642,-0.118254516,-0.138100459,-0.095056936,-0.261764069,-0.090068872,5.0,1.0,6.0,6.0,1,2.0,2.0,10,11.0,1,0,0,304,442,1,3,18,27,319,257,3,0,21,19,337,117,3,1,20,11,46,550,0,12,3,40,367,378,8,9,27,30
